gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
COL4A4	3	3	0	2	2	2	2	0.9675510204081632	all_up
OLFML2B	2	2	0	2	2	2	2	0.9672108142111786	all_up
MUC5B	3	3	0	2	3	2	2	0.9670138245431972	all_up
TMTC1	3	3	0	2	2	2	2	0.9670068027210884	all_up
SOX9	3	3	0	2	2	2	2	0.9666250610517176	all_up
CXCL14	2	0	2	2	2	2	2	0.9664935491264073	all_down
HERC6	3	0	3	2	3	2	2	0.9664208146473444	all_down
ITPK1	3	0	3	2	2	2	2	0.9659738427307756	all_down
FBP1	3	0	3	2	2	2	2	0.9656462585034014	all_down
HBA1	2	0	2	2	2	2	2	0.9655883078254366	all_down
ARC	2	0	2	2	2	2	2	0.9655657182284646	all_down
GPSM3	3	3	0	2	2	2	2	0.9653226244098334	all_up
HNF4G	3	3	0	2	2	2	2	0.9652683562164216	all_up
SBK1	3	3	0	2	2	2	2	0.9643537414965986	all_up
PLEKHH2	3	3	0	2	2	2	2	0.9640136054421768	all_up
LEF1	3	3	0	2	2	2	2	0.9638775510204082	all_up
CATSPER1	2	2	0	2	2	2	2	0.9635825314007951	all_up
MBNL3	3	0	3	2	2	2	2	0.9635374149659864	all_down
MAG	2	0	2	2	2	2	2	0.9617606060169768	all_down
ARPIN	3	0	3	2	2	2	2	0.9615781190644164	all_down
SH3YL1	3	3	0	2	2	2	2	0.9608726325500624	all_up
ATP8A1	3	3	0	2	2	2	2	0.9600680272108844	all_up
ITGB6	3	3	0	2	2	2	2	0.9600586096488848	all_up
GALNT12	3	3	0	2	2	2	2	0.9594557823129252	all_up
SOWAHC	3	3	0	2	2	2	2	0.9593197278911564	all_up
CDK14	3	3	0	2	2	2	2	0.959298854941119	all_up
PLXDC2	3	0	3	2	3	2	2	0.9590275139740598	all_down
ROR2	3	0	3	2	2	2	2	0.9588104412004124	all_down
ZNF747	2	0	2	2	2	2	2	0.9582195787090002	all_down
RHOBTB3	3	0	3	2	2	2	2	0.9577793455255874	all_down
LRRC10B	2	0	2	2	2	2	2	0.9573495875801885	all_down
MAP3K5	3	3	0	2	2	2	2	0.9571823953980572	all_up
ETS2	3	3	0	2	2	2	2	0.9568025180441744	all_up
OPN3	3	3	0	2	2	2	2	0.95550008140229	all_up
MDFIC	3	3	0	2	2	2	2	0.954421768707483	all_up
TSPAN5	3	3	0	2	2	2	2	0.9540891083735824	all_up
SEMA5B	2	2	0	2	2	2	2	0.9539111733041836	all_up
S100P	3	3	0	2	2	2	2	0.9538720355999348	all_up
ARHGAP5-AS1	3	3	0	2	2	2	2	0.9532750854724046	all_up
SLC18B1	3	3	0	2	2	2	2	0.9527891156462585	all_up
LAMC2	3	3	0	2	2	2	2	0.9521768707482994	all_up
MBIP	3	3	0	2	2	2	2	0.9508330167688718	all_up
EHF	3	3	0	2	2	2	2	0.9501817984479296	all_up
YBX2	3	0	3	2	2	2	2	0.9494763119335756	all_down
MAPRE2	3	3	0	2	2	2	2	0.9494557823129252	all_up
FOXO1	3	3	0	2	2	2	2	0.949367775546752	all_up
MAGED1	3	3	0	2	2	2	2	0.9486394557823128	all_up
CAPN8	3	3	0	2	2	2	2	0.9485537526455744	all_up
KIF13B	3	3	0	2	2	2	2	0.9485034013605442	all_up
GSG1L	2	0	2	2	2	2	2	0.9483945050316214	all_down
NUDT11	3	3	0	2	2	2	2	0.9480272108843536	all_up
SEMA4B	3	3	0	2	2	2	2	0.9477397297443968	all_up
LYPD6	3	0	3	2	2	2	2	0.947685461550985	all_down
IL24	2	0	2	2	2	2	2	0.947509735972318	all_down
FGFR4	3	0	3	2	2	2	2	0.9471428571428572	all_down
FGF13	3	3	0	2	2	2	2	0.9468171704563956	all_up
PLBD1	3	0	3	2	2	2	2	0.945948879361806	all_down
IRF2BP2	3	3	0	2	2	2	2	0.945034013605442	all_up
RTN4RL1	3	0	3	2	2	2	2	0.9446938775510204	all_down
PGM2L1	3	3	0	2	2	2	2	0.9446464427199218	all_up
HMCN1	3	0	3	2	2	2	2	0.9444836381396864	all_down
ENPP1	3	3	0	2	3	2	2	0.9441580289792152	all_up
TBC1D2B	3	3	0	2	2	2	2	0.9437781516253324	all_up
TH	2	0	2	2	2	2	2	0.9427793141460199	all_down
SPRED1	3	3	0	2	2	2	2	0.9423129104032126	all_up
COL9A2	3	0	3	2	2	2	2	0.9420415694361536	all_down
SATB2	3	3	0	2	3	2	2	0.9417006802721088	all_up
RMI2	3	0	3	2	2	2	2	0.9414285714285714	all_down
OLFM1	3	0	3	2	2	2	2	0.9412244897959184	all_down
DUSP10	3	3	0	2	3	2	2	0.9411437678366258	all_up
PLD1	3	3	0	2	2	2	2	0.940952380952381	all_up
PPP1R1A	3	3	0	2	2	2	2	0.939795918367347	all_up
CLIC3	3	0	3	2	2	2	2	0.9394909643457968	all_down
